"Issue","LeadTime","IssueType"
"1011",11.61,"Defect"
"1012",11.71,"Story"
"1015",8.24,"Story"
"1018",6.86,"Defect"
"1023",8.08,"Defect"
"1028",0.67,"Story"
"1037",0.13,"Defect"
"1038",1.07,"Defect"
"1039",1.09,"Story"
"1041",0.89,"Story"
"1042",0.88,"Story"
"1043",0.08,"Defect"
"1046",0.97,"Defect"
"1055",12.99,"Story"
"1057",0.78,"Defect"
"1060",4.25,"Story"
"1067",4.29,"Defect"
"1068",4.22,"Story"
"1069",4.21,"Story"
"1070",4.03,"Story"
"1071",10.9,"Story"
"1075",0.23,"Defect"
"1087",5.96,"Defect"
"1091",0.03,"Defect"
"1094",7.19,"Story"
"1099",6.93,"Defect"
"1102",0.01,"Defect"
"1106",3.03,"Story"
"1108",1.98,"Defect"
"1111",2.92,"Story"
